source_id,number,title,char_coverage,overall,ref_chars,hyp_chars,length_delta,error
bbmu,34,我的老师,0.9571428571428572,95.71428571428572,420,420,0,
bbmu,13,海滨仲夏夜,0.9618874773139746,96.18874773139746,551,540,-11,
beijing_putonghua,13,海滨仲夏夜,0.9618874773139746,96.18874773139746,551,540,-11,
bbmu,40,一粒种子造福世界,0.9713701431492843,97.13701431492842,489,477,-12,
beijing_putonghua,18,晋祠,0.9739292364990689,97.39292364990689,537,537,0,
bbmu,22,麻雀,0.9745958429561201,97.45958429561202,433,433,0,
bbmu,10,繁星,0.9764957264957265,97.64957264957265,468,467,-1,
bbmu,2,春,0.9768339768339769,97.68339768339769,518,517,-1,
bbmu,46,中国的牛,0.9787735849056604,97.87735849056604,424,424,0,
bbmu,18,晋祠,0.9795158286778398,97.95158286778398,537,537,0,
bbmu,32,泰山极顶,0.9795454545454545,97.95454545454545,440,439,-1,
beijing_putonghua,8,鼎湖山听泉,0.9796296296296296,97.96296296296296,540,541,1,
bbmu,26,驱遣我们的想象,0.9801324503311258,98.01324503311258,453,452,-1,
bbmu,48,“住”的梦,0.9806866952789699,98.06866952789699,466,462,-4,
beijing_putonghua,48,“住”的梦,0.9806866952789699,98.06866952789699,466,462,-4,
beijing_putonghua,31,苏州园林,0.9809069212410502,98.09069212410502,419,419,0,
beijing_putonghua,2,春,0.9826254826254827,98.26254826254826,518,517,-1,
beijing_putonghua,10,繁星,0.9829059829059829,98.29059829059828,468,468,0,
bbmu,5,大匠无名,0.9836956521739131,98.36956521739131,552,552,0,
beijing_putonghua,32,泰山极顶,0.9840909090909091,98.4090909090909,440,440,0,
bbmu,8,鼎湖山听泉,0.9851851851851852,98.51851851851852,540,541,1,
bbmu,36,乡下人家,0.985200845665962,98.5200845665962,473,473,0,
beijing_putonghua,36,乡下人家,0.985200845665962,98.5200845665962,473,473,0,
beijing_putonghua,30,世界民居奇葩,0.9853556485355649,98.5355648535565,478,478,0,
beijing_putonghua,5,大匠无名,0.9855072463768116,98.55072463768117,552,552,0,
bbmu,31,苏州园林,0.9856801909307876,98.56801909307876,419,418,-1,
beijing_putonghua,29,十渡游趣,0.9857651245551602,98.57651245551602,562,561,-1,
